"computer_id","user_id","mac_address","ip_address"
"1","10773","7d:ef:04:b0:99:3c","15.116.9.165"
"2","10810","f6:89:e2:97:63:a5","54.245.202.8"
"3","11226","de:0d:72:9a:98:98","110.21.89.223"
"4","11253","9e:57:c2:66:4b:b7","184.144.30.50"
"5","11941","d7:3a:b3:03:a5:27","34.144.172.38"
"6","13194","6e:dc:10:d9:a1:10","198.125.245.157"
"7","13680","55:11:ba:9e:da:73","11.5.35.179"
"8","13801","b4:83:e1:c0:34:c5","211.204.190.169"
"9","14044","92:c7:12:d9:3e:3e","69.6.93.9"
"10","14244","5d:ba:e2:00:9a:64","20.114.44.42"
"11","14283","ed:a9:bf:4a:e1:14","87.70.150.211"
"12","14403","86:32:73:4f:3c:b8","92.4.223.212"
"13","15413","d4:74:e9:59:0f:fa","142.166.48.68"
"14","15453","ad:91:52:95:ef:7b","180.238.247.31"
"15","15882","b2:30:03:d2:c1:34","150.195.9.10"
"16","16098","b5:a4:bf:0c:ca:25","116.95.145.180"
"17","16393","b4:b3:d4:eb:da:54","92.90.56.155"
"18","16661","9c:5c:cf:83:13:61","1.171.223.114"
"19","16855","6b:21:9d:32:70:41","134.152.168.151"
"20","16867","d5:10:b7:c2:3a:ec","58.85.131.66"
"21","17154","5b:38:ad:89:10:1a","111.176.9.147"
"22","17916","3f:7e:da:b3:55:cf","99.138.76.131"
"23","17993","30:ec:2f:a4:a2:46","27.53.181.21"
"24","18042","22:0a:29:db:dd:15","67.183.21.194"
"25","18145","74:88:72:e8:05:7c","221.67.233.122"
"26","18720","70:aa:e5:a4:00:5a","70.14.170.232"
"27","18884","18:17:5b:54:fb:d0","71.181.207.64"
"28","19407","df:89:e5:b0:9f:81","47.19.47.239"
"29","19447","dc:d8:c6:71:b6:95","107.13.1.61"
"30","19579","8e:19:42:96:82:ee","114.235.192.230"
"31","19768","25:b4:6d:e7:59:b4","18.196.205.114"
"32","19808","d0:6b:d8:37:1c:25","121.75.199.190"
"33","19937","9d:ea:2a:d3:d7:84","166.72.213.179"
"34","19968","dc:e6:44:6f:e6:97","6.57.85.241"
"35","19969","22:0d:75:45:fb:2b","101.34.8.45"
"36","19970","47:48:9e:9a:8f:d7","13.64.210.3"
"37","19971","46:70:da:fa:25:b9","46.116.111.186"
"38","19972","88:cb:bd:d6:63:21","136.78.2.235"
"39","19973","77:0b:32:a4:e3:46","88.23.80.140"
"40","19984","3c:82:c3:00:2b:d6","199.46.32.146"
"41","10001","e7:03:2a:f7:48:69","140.52.5.108"
"42","10002","96:35:7a:17:95:27","116.226.136.164"
"43","10003","6d:c3:2c:4c:33:1a","112.120.30.154"
"44","10004","9b:38:83:c5:83:88","199.94.13.88"
"45","10005","95:6d:ec:d7:d5:1b","89.91.75.217"
"46","10006","24:0f:b1:0e:4f:78","19.110.12.200"
"47","10007","10:4c:2d:eb:3a:12","70.150.170.224"
"48","10008","9a:54:a2:83:64:68","175.98.169.68"
"49","10009","f7:9d:c6:72:d6:1a","192.248.89.22"
"50","10010","24:11:08:21:9e:c1","114.222.234.211"
"51","10011","75:07:d3:91:98:3c","116.194.145.170"
"52","10012","fb:6c:38:e9:ec:62","200.60.117.122"
"53","10013","81:f3:53:c2:64:51","152.129.84.188"
"54","10014","a2:15:e6:0f:f7:be","70.169.106.250"
"55","10015","e5:71:45:d3:e5:fa","157.92.191.238"
"56","10016","af:ce:ee:ca:bf:e8","8.220.153.30"
"57","10017","3a:74:d5:fa:a6:6d","125.67.209.139"
"58","10018","c6:a8:35:d7:f1:23","221.53.104.119"
"59","10019","ce:e4:29:81:1f:67","106.215.210.62"
"60","10020","56:9f:dd:b2:d7:9f","184.76.107.92"
"61","10021","6d:54:28:a1:b7:c0","107.99.109.39"
"62","10022","73:aa:de:e6:af:cd","22.28.114.142"
"63","10023","1a:dc:24:71:2c:f7","96.25.152.58"
"64","10024","2e:e8:6c:87:5c:75","207.218.43.216"
"65","10025","9e:05:21:09:d6:24","122.203.119.174"
"66","10026","94:63:6e:38:43:c0","34.58.45.160"
"67","10027","76:35:27:62:f8:f6","18.187.242.115"
"68","10028","d2:64:4d:8f:db:52","70.28.182.227"
"69","10029","da:c9:a6:6e:c4:5c","27.201.233.126"
"70","10030","f4:8f:a1:7f:4a:b9","206.203.194.99"
"71","10031","64:cc:4a:42:ca:21","134.239.216.190"
"72","10032","b8:5b:f8:53:1e:f7","202.194.6.49"
"73","10033","7c:0c:b7:ed:52:35","98.76.242.213"
"74","10034","63:d7:ee:16:71:13","179.80.222.112"
"75","10035","b0:2b:80:9c:6c:6e","21.255.208.55"
"76","10036","c8:61:36:d5:0c:00","123.190.221.219"
"77","10037","56:13:c5:57:e6:2c","130.220.230.193"
"78","10038","6d:76:a4:45:2d:8c","167.70.15.229"
"79","10039","18:e9:f9:57:6d:51","91.219.135.70"
"80","10040","0b:76:e9:98:a7:08","37.39.18.44"
"81","10041","9c:1e:7a:79:d3:b1","10.195.94.241"
"82","10042","3b:0f:dd:91:86:31","123.60.101.147"
"83","10043","89:95:58:40:97:03","9.45.220.173"
"84","10044","60:b3:57:95:d0:a9","24.159.22.82"
"85","10045","97:c2:c3:89:c2:68","117.63.162.166"
"86","10046","66:85:12:02:28:98","49.147.247.106"
"87","10047","3d:e5:36:26:73:3a","207.112.100.86"
"88","10048","04:93:d7:e1:87:f7","82.31.100.9"
