"comp_id","ip_address","mac_address","user_id"
"1","154.70.4.91","ec:a8:12:2a:ed:80","10166"
"2","56.139.187.166","23:82:9c:3d:87:01","10208"
"3","119.248.12.152","70:5d:9c:d4:a1:70","10746"
"4","3.204.70.227","76:11:50:b8:5b:4e","10869"
"5","18.5.196.230","3d:af:f6:c2:a1:c5","11459"
"6","89.193.23.158","0e:d6:7e:16:29:f3","11945"
"7","153.75.97.152","69:c0:c3:d6:a9:7a","12484"
"8","31.52.88.232","21:e7:94:55:99:10","12572"
"9","4.19.158.132","59:ad:94:f0:34:1f","12974"
"10","143.245.185.50","f8:ff:a0:50:52:02","13289"
"11","37.231.168.203","77:ae:f4:57:55:b8","13468"
"12","12.129.103.150","2c:fa:69:03:45:64","14873"
"13","138.147.163.123","f1:7a:41:c7:20:d7","15161"
"14","68.78.215.126","b1:e7:c3:23:13:6b","15325"
"15","31.133.88.70","79:ce:8d:a2:44:33","15370"
"16","190.30.189.81","6c:a5:57:f6:61:d1","15883"
"17","35.23.50.249","31:0e:25:85:38:23","16030"
"18","218.172.232.208","1e:a1:55:65:69:61","16237"
"19","53.87.186.58","da:d1:71:02:c0:80","16277"
"20","213.228.223.250","36:d1:25:86:7a:dd","17148"
"21","87.249.66.103","1c:ab:82:c3:cb:c0","17391"
"22","165.55.255.246","99:86:ee:4a:18:ac","17641"
"23","99.137.60.116","0f:14:fa:8d:33:84","17860"
"24","194.234.11.25","2a:c9:d6:82:52:ba","17930"
"25","185.95.9.190","51:11:39:a5:05:9e","17972"
"26","196.103.108.188","36:29:70:9d:24:6e","18140"
"27","119.125.244.52","cc:fd:7c:29:64:79","18507"
"28","216.126.1.229","00:e7:e5:3a:b2:04","18718"
"29","144.138.250.113","7d:0d:1e:3d:95:e2","18842"
"30","91.145.92.50","49:ef:03:4e:e4:cb","19005"
"31","4.215.79.14","51:34:df:b4:8f:39","19214"
"32","112.1.188.240","2b:00:fb:c1:8d:3c","19439"
"33","187.40.230.171","0e:c9:ca:ec:d6:51","19461"
"34","183.67.197.150","b4:cc:b1:ee:18:c2","19997"
"35","10.122.89.53","65:f7:62:1f:a9:08","19998"
"36","36.136.2.5","89:f8:cb:68:0c:69","19999"
"37","123.7.217.239","9c:aa:9d:4d:eb:fa","20000"
"38","135.44.232.210","ae:d8:7f:29:ff:89","10001"
"39","101.109.20.122","28:99:db:38:95:12","10002"
"40","132.248.214.66","47:bc:48:47:d5:f7","10003"
"41","140.29.72.8","ae:75:18:35:fb:de","10004"
"42","146.250.184.112","ef:be:cf:d4:f4:bd","10005"
"43","28.190.51.58","17:f8:09:90:2e:e5","10006"
"44","144.240.102.177","84:ea:f3:57:36:34","10007"
"45","195.126.20.134","8f:5c:5d:86:0d:51","10008"
"46","119.97.134.140","c4:59:9b:12:81:98","10009"
"47","161.102.161.61","e6:8c:a5:db:ee:64","10010"
"48","36.194.145.115","d3:a0:82:a1:c4:c5","10011"
"49","14.226.19.3","71:00:9a:10:e2:98","10012"
"50","60.97.197.59","3a:cf:58:03:e4:13","10013"
"51","82.66.97.254","68:a8:ce:a8:18:b6","10014"
"52","218.121.129.49","a4:63:ae:3a:69:c5","10015"
"53","16.57.155.110","d9:86:09:6a:f6:88","10016"
"54","212.0.13.155","c2:38:a5:ac:9a:f2","10017"
"55","98.95.184.153","77:cb:2c:85:88:e7","10018"
"56","85.98.109.77","92:4c:52:3b:22:19","10019"
"57","66.156.96.119","20:f0:04:51:2c:7b","10020"
"58","64.129.66.132","d7:c1:da:dc:c5:75","10021"
"59","60.44.78.193","94:a3:e8:bd:d1:16","10022"
"60","12.12.228.28","e3:7b:a3:9e:93:aa","10023"
"61","145.149.201.62","56:a6:c2:fd:f8:9c","10024"
"62","17.148.191.68","48:80:ee:7b:3e:83","10025"
"63","29.150.154.101","f9:dc:32:95:67:50","10026"
"64","97.214.219.184","bd:1a:21:2a:72:bc","10027"
"65","59.42.5.107","c5:34:d8:fc:20:e0","10028"
"66","5.193.210.52","cd:e9:e8:48:b7:3c","10029"
"67","41.170.93.113","66:31:58:89:33:e8","10030"
"68","46.161.232.228","92:f0:a5:a1:35:32","10031"
"69","169.8.72.96","3d:01:92:ad:8f:25","10032"
"70","76.106.205.198","5a:40:1e:8d:ad:6c","10033"
"71","108.5.222.160","93:ed:61:f2:b2:87","10034"
"72","56.237.230.96","f4:d2:66:c3:eb:c2","10035"
"73","1.58.232.25","57:f7:8d:ca:4b:66","10036"
"74","186.172.54.12","c3:03:26:06:d8:27","10037"
"75","108.186.227.120","23:0a:75:39:f1:c5","10038"
"76","110.94.184.90","af:7f:b4:81:59:3d","10039"
"77","110.85.51.16","04:83:b9:e8:a8:86","10040"
"78","126.117.222.101","8b:95:70:a8:72:49","10041"
"79","96.200.212.150","e0:1e:e8:c2:8e:aa","10042"
"80","140.61.255.93","01:6d:ec:b1:81:d7","10043"
"81","30.28.135.219","24:a3:20:fd:f7:04","10044"
"82","134.210.118.70","c1:c4:d3:f2:0b:93","10045"
"83","62.63.70.50","fe:bf:86:28:18:6d","10046"
"84","1.90.221.140","7b:98:17:90:19:17","10047"
"85","173.93.32.235","72:d7:99:74:1f:65","10048"
"86","105.187.56.144","7a:0e:93:59:80:f7","10049"
"87","103.247.147.48","e5:55:1d:b1:45:9f","10050"
"88","60.145.94.1","07:1e:f3:b3:c7:ea","10051"
"89","221.93.184.122","ff:0a:56:89:53:54","10052"
"90","31.171.13.63","55:cf:5a:8d:21:05","10053"
"91","6.218.76.63","72:6c:cf:3c:45:af","10054"
"92","93.201.46.221","b6:29:b5:3b:bc:cf","10055"
"93","83.152.32.8","15:5b:a1:fd:db:f8","10056"
"94","116.196.229.33","78:58:24:fa:7d:a1","10057"
"95","53.161.3.212","c1:35:6f:c6:60:b6","10058"
"96","145.89.125.1","2d:ea:db:e1:3b:b7","10059"
"97","81.142.191.168","59:71:15:7e:d2:fe","10060"
