"computer_id","mac_address","ip_address","user_id"
"1","62:62:61:c1:a0:56","124.216.99.197","10012"
"2","80:4f:10:38:52:4a","31.79.211.179","10225"
"3","2b:5b:37:4f:e4:66","60.196.104.233","10346"
"4","c0:7f:67:86:f0:7e","23.211.127.126","10487"
"5","e1:d6:98:09:d6:f1","115.230.209.145","10604"
"6","17:0b:bd:06:0d:3a","69.24.171.76","11195"
"7","38:21:db:8f:f6:ea","153.138.204.240","11380"
"8","fa:8a:fd:dc:d1:61","126.178.115.157","12781"
"9","63:0e:4b:53:ab:87","61.83.227.206","12819"
"10","32:30:f5:47:12:44","173.113.123.184","13266"
"11","40:7b:d4:93:6f:45","77.86.25.68","13303"
"12","38:ec:41:05:14:96","145.246.78.196","13531"
"13","b5:c2:19:91:08:ee","149.77.249.254","13716"
"14","18:51:ae:d9:02:2c","175.208.149.71","13866"
"15","d0:d9:ea:0b:d1:7b","98.229.165.94","14504"
"16","55:74:94:57:dd:51","169.135.127.235","14844"
"17","24:9d:b3:dd:08:0e","166.7.136.67","15407"
"18","1f:af:5a:82:a3:bc","169.122.177.66","15821"
"19","99:aa:95:65:e9:f6","48.23.160.36","16006"
"20","fb:e1:0f:ae:f3:64","126.80.89.170","16352"
"21","82:7c:a1:7b:0a:28","207.91.85.93","16606"
"22","72:01:a8:44:77:54","197.38.151.145","16645"
"23","30:a5:d1:a7:cc:c7","74.172.66.45","16869"
"24","ce:50:ec:6b:3e:08","6.10.9.75","17241"
"25","5e:45:c5:5a:4a:2d","25.193.105.128","17278"
"26","4b:a1:e6:d0:4b:2d","8.119.167.243","17467"
"27","1a:d3:5b:51:88:8c","80.113.103.177","18035"
"28","e1:9b:c0:1e:7f:dc","38.202.193.241","18065"
"29","31:03:34:37:73:79","142.78.48.243","18179"
"30","62:29:6b:12:5d:dc","26.146.178.16","18251"
"31","db:24:20:06:3b:58","63.120.206.52","18367"
"32","fc:2c:c6:95:88:3d","115.108.119.66","18564"
"33","eb:bf:c5:ba:ad:50","204.69.131.114","18586"
"34","e4:78:0c:a6:1c:a5","166.87.43.201","18661"
"35","40:78:ca:eb:ec:07","161.12.181.227","18812"
"36","65:08:18:35:59:af","84.56.37.32","18888"
"37","6e:c8:ca:87:29:a5","164.68.145.95","18971"
"38","03:42:4b:e0:79:2f","89.17.82.193","19228"
"39","e8:ca:b8:2c:a0:f7","5.40.241.211","19412"
"40","39:eb:99:06:e3:82","38.151.104.204","19972"
"41","f6:46:ed:b3:c5:ad","26.29.142.6","19973"
"42","e4:24:65:2f:f2:03","103.95.123.87","19974"
"43","9e:52:e6:e9:66:46","190.105.36.79","19975"
"44","d2:41:aa:c8:2a:79","105.13.35.247","19976"
"45","76:a0:44:50:f9:09","46.90.97.121","19977"
"46","b6:14:8d:a2:99:56","107.155.218.181","19978"
"47","11:b7:c2:04:84:cb","165.72.137.27","19979"
"48","82:eb:2f:c9:a3:18","176.100.22.59","10001"
"49","d5:f4:9e:44:63:7f","141.198.224.225","10002"
"50","64:cb:76:07:b4:e5","163.212.216.133","10003"
"51","ca:11:ee:c4:c6:d4","27.19.16.179","10004"
"52","8e:e1:e8:da:10:bc","64.83.8.239","10005"
"53","85:5d:e8:a1:90:62","125.85.215.53","10006"
"54","aa:39:63:2c:43:d9","7.4.200.147","10007"
