"device_id","mac_address","ip_address","user_id"
"1","99:88:1e:9d:f0:99","112.79.52.34","5013"
"2","af:f3:2b:4d:ed:7b","23.53.49.72","5244"
"3","ec:19:b3:56:a2:99","34.71.152.43","5528"
"4","36:d6:67:d6:84:9c","95.136.86.41","5704"
"5","03:27:e7:44:c2:86","119.140.52.194","5737"
"6","78:5e:76:89:cb:5a","33.182.87.164","5826"
"7","60:ad:14:d4:88:42","135.46.50.94","5888"
"8","fb:31:be:12:83:b0","95.16.24.224","5924"
"9","17:3f:b3:3d:a0:97","16.44.175.110","5978"
"10","40:a5:02:4a:5d:67","192.111.70.142","6130"
"11","79:15:b7:21:ac:5a","99.118.151.255","6310"
"12","89:33:6b:e0:5a:af","54.127.55.102","6341"
"13","d0:de:ee:68:e1:7f","165.140.253.92","6432"
"14","bd:25:ab:ae:f3:d3","58.162.210.49","6923"
"15","dc:c0:40:5f:5f:81","48.44.231.92","7031"
"16","d4:53:d6:fb:d4:6e","128.87.50.60","7258"
"17","11:1f:d7:fc:c7:6e","32.155.196.80","7411"
"18","ef:07:52:a7:59:fb","17.2.129.232","7595"
"19","42:cc:aa:27:59:47","118.165.171.23","7685"
"20","49:e6:83:b6:06:2f","220.179.159.39","7734"
"21","f2:df:08:0a:a3:f5","114.206.238.167","8055"
"22","c0:9b:ff:3e:28:e4","7.64.54.102","8257"
"23","86:8f:58:ab:24:21","86.237.155.111","8390"
"24","4a:19:fb:6a:18:3c","4.175.189.242","9186"
"25","d2:49:a3:6e:4f:48","66.38.121.167","9467"
"26","5f:8f:89:7f:d8:68","88.2.55.96","9983"
"27","00:f5:ce:fb:be:fe","77.235.119.2","9984"
"28","25:2a:9b:eb:37:0c","54.211.187.251","9985"
"29","8c:d9:67:7e:9f:9b","131.196.27.239","9986"
"30","b7:05:fd:43:c4:3c","131.155.145.168","9987"
"31","ea:8a:2c:dc:80:5a","84.50.255.4","9988"
"32","55:65:74:f1:1d:d6","122.206.212.5","9989"
"33","c2:25:db:4b:3f:d5","177.73.92.145","9990"
"34","83:28:4c:93:31:a7","192.226.151.200","9991"
"35","67:cd:87:7a:d2:64","7.153.213.219","9992"
"36","0c:37:43:97:6d:51","80.246.223.104","9993"
"37","d0:e8:34:e7:d6:ae","185.216.167.103","9994"
"38","d1:88:0e:a6:70:47","109.202.113.36","9995"
"39","ae:73:33:4b:d7:c1","61.204.163.225","5001"
"40","68:d8:74:64:87:63","30.43.128.187","5002"
"41","fa:fe:f2:74:ae:03","129.236.125.89","5003"
"42","72:bc:33:c8:71:38","125.239.107.12","5004"
"43","ac:16:a2:cd:b6:9f","34.6.11.146","5005"
"44","70:37:b5:5e:78:66","220.131.249.77","5006"
"45","63:79:54:5b:c7:75","52.21.85.62","5007"
"46","20:bd:0d:e8:2a:5d","90.179.30.203","5008"
"47","aa:6f:47:22:13:46","39.86.67.247","5009"
"48","cb:c4:16:bf:8f:e1","223.239.168.252","5010"
"49","65:72:1f:b5:bd:ba","148.194.3.150","5011"
"50","53:6d:60:a2:9e:f0","171.3.20.204","5012"
"51","c0:5f:3b:83:84:3c","143.216.207.136","5014"
