latitude,longitude,address,county
-29.917267,137.208854,"Intrarea Marin Nr. 13, Sancraiu de Mures, 919217",Tulcea
54.9063695,-144.428621,"Bulevardul Ruxanda Ababei, Cluj-Napoca, 951633",Prahova
87.2016375,58.889374,"Aleea Stănescu, Nadlac, 225072",Prahova
62.502998,89.11206,"Intrarea Ababei, Giarmata, 269232",Bacău
-80.4042655,-113.766216,"Intrarea Tomescu, Jilava, 284789",Covasna
-51.015534,113.024732,"Drumul Adelina Oprea Nr. 92 Bl. 69  Sc. 79 Ap. 624, Copsa Mica, 724333",Iași
-55.9322385,-111.677868,"Bulevardul Mocanu, Moisei, 668547",Ilfov
61.519427,85.641862,"Bulevardul Heracleea Nistor Nr. 413 Bl. 80  Sc. 70 Ap. 662, Savinesti, 808602",Hunedoara
-60.102144,165.509807,"Drumul Dinu Nr. 368 Bl. 35  Sc. 63 Ap. 714, Orsova, 162593",Tulcea
6.1335735,161.921971,"Intrarea Tomescu, Rosiori de Vede, 858325",Neamț
44.3500115,64.003431,"Intrarea Popescu Nr. 52 Bl. 51  Sc. 60 Ap. 631, Botosani, 252659",Vrancea
-48.2300645,-104.15773,"Aleea Preda Nr. 316, Corabia, 259897",Bistrița-Năsăud
47.912914,-97.459007,"Intrarea Diaconescu Nr. 85 Bl. 15  Sc. 77 Ap. 783, Sovata, 570844",Ialomița
88.450748,-74.951198,"Soseaua Evanghelina Gheorghiu Nr. 22 Bl. 71  Sc. 71 Ap. 139, Valu lui Traian, 209693",Alba
51.8691115,-60.390052,"Bulevardul Adela Mazilescu Nr. 979, Constanta, 589393",Harghita
60.381531,-102.743192,"Bulevardul Georgescu Nr. 92 Bl. 40  Sc. 44 Ap. 562, Rodna, 328632",Olt
13.1786335,-74.979794,"Aleea Georgiana Marin, Baia Sprie, 642284",Brașov
72.358383,-131.407364,"Soseaua Georgescu, Marasesti, 106378",Bacău
-70.8238415,-127.225555,"Aleea Nemeș Nr. 695, Homocea, 963025",Mureș
-35.896145,94.898927,"Aleea Dinu Nr. 634, Odobesti, 616666",Galați
76.7311655,-161.907655,"Aleea Emanuel Barbu, Diosig, 310422",Caraș Severin
74.662317,-75.778273,"Soseaua Iustinian Ene, Sighetu Marmatiei, 698063",Sălaj
2.439987,-122.695928,"Bulevardul Norbert Tomescu Nr. 619 Bl. 99  Sc. 40 Ap. 823, Baicoi, 363083",Iași
-51.055278,12.879051,"Soseaua Arina Albu Nr. 47, Topoloveni, 874197",Ialomița
-38.332783,-54.149362,"Strada Ada Oprea Nr. 81 Bl. 59  Sc. 19 Ap. 349, Oltenita, 113899",Mureș
-11.1044655,169.494708,"Aleea Nistor Nr. 82 Bl. 79  Sc. 43 Ap. 537, Botosani, 353814",Iași
82.225122,125.640509,"Aleea Diaconu, Corabia, 341750",Călărași
