ip_address,mac_address
176.100.22.59,82:eb:2f:c9:a3:18
141.198.224.225,d5:f4:9e:44:63:7f
163.212.216.133,64:cb:76:07:b4:e5
27.19.16.179,ca:11:ee:c4:c6:d4
64.83.8.239,8e:e1:e8:da:10:bc
125.85.215.53,85:5d:e8:a1:90:62
7.4.200.147,aa:39:63:2c:43:d9
196.209.69.183,e4:f0:14:bf:1e:4d
106.27.181.215,96:70:08:e3:4e:b3
19.37.220.125,b1:c4:43:38:f8:5e
164.52.166.81,f1:37:77:07:61:8d
124.216.99.197,62:62:61:c1:a0:56
81.234.32.78,79:7c:ee:46:69:75
55.16.123.22,78:e9:66:5f:1d:bf
216.9.57.3,a4:18:15:00:57:d3
131.90.32.47,44:19:1f:25:4d:49
98.38.112.162,da:2d:4a:17:ca:c4
212.87.71.240,a2:f6:4c:84:77:71
126.208.196.154,b0:4d:28:8f:10:f3
25.9.242.144,e9:f9:c9:19:2b:23
35.134.221.245,88:88:e0:db:67:3e
56.252.157.169,41:30:fc:43:15:e3
200.211.255.224,33:b6:bc:5c:db:12
1.207.138.153,1c:03:d3:8c:25:d8
85.133.137.158,3d:ca:e6:5c:e1:57
93.220.173.111,4a:4b:57:73:39:d4
53.149.59.248,17:1f:c9:f8:ce:0b
203.181.43.64,c8:7f:f1:ba:b5:f9
70.195.246.31,fa:83:35:57:c2:74
30.220.0.132,b2:54:1e:af:5a:95
40.110.2.56,49:49:3a:aa:03:3d
102.26.93.73,ea:4a:32:e5:4e:93
169.176.7.56,ef:d4:fc:19:d9:77
9.244.212.106,60:a3:56:a2:08:86
150.59.56.190,71:7e:e1:73:47:d2
147.24.37.36,7c:6b:0e:c1:68:41
12.112.151.249,a4:98:3d:ba:74:a0
86.67.17.171,ec:8f:28:2e:1b:f3
88.8.168.25,2c:8e:53:f5:df:5c
27.205.239.94,db:7d:45:93:bd:a8
115.219.43.134,4a:51:0c:e2:7d:21
188.46.52.201,dd:fa:e9:98:ff:d1
178.219.77.110,bb:c2:64:01:40:b9
50.151.22.172,3a:a7:cf:4e:f6:b8
133.118.81.60,aa:94:f8:2c:a6:99
10.104.122.124,b4:30:a6:fb:fb:cf
126.37.29.195,db:82:a5:74:2f:f7
183.161.36.128,82:d6:4f:9b:88:f0
66.128.252.252,04:c9:01:72:cc:32
162.159.147.168,ba:a1:92:ab:89:b1
88.241.246.231,2f:21:ee:7f:d0:d9
54.59.85.83,de:06:3e:99:b3:34
80.209.78.120,44:ea:ce:01:41:8f
113.237.24.179,b5:13:22:6a:0d:4b
39.171.44.242,19:7f:0a:29:66:47
129.17.121.228,f9:fa:50:9d:6e:4e
17.58.212.4,b9:d9:d3:29:30:f5
34.143.134.232,cc:e3:18:0e:4b:b4
49.53.162.112,77:0b:39:00:ec:3f
13.202.80.50,4d:23:0a:a5:27:50
32.190.255.203,0f:b8:d4:73:f6:2f
65.241.165.248,5a:15:80:ed:d0:ab
123.211.130.18,98:7c:ec:bd:fe:1e
209.185.93.30,64:9c:c6:44:4d:73
210.248.14.17,39:0f:71:72:9c:84
35.165.178.90,f6:c1:ad:e6:54:44
128.213.30.97,80:d6:d0:9a:78:ee
148.21.103.29,48:b9:cd:c5:93:60
222.244.81.43,64:ce:ac:a8:f5:97
217.149.69.32,eb:bf:8a:17:0c:30
4.40.202.104,b8:fc:36:f0:d9:a6
94.26.149.224,cd:ee:dd:47:d8:44
20.219.42.104,50:c4:3f:6b:5e:81
118.49.233.117,29:9d:b8:75:75:87
200.32.236.236,1f:70:54:dd:c0:dd
87.122.88.122,2b:a6:ae:cc:d7:d6
4.114.16.125,38:c5:f3:56:23:88
45.38.8.161,d8:f4:e6:01:e9:65
116.210.237.251,be:f8:df:7a:3d:26
171.59.117.229,cd:d5:43:64:76:73
220.234.131.42,ad:97:5d:bf:93:bf
141.156.136.186,d3:23:73:60:35:f2
87.15.67.33,82:76:95:2f:17:44
63.128.206.82,3a:1f:60:f4:3d:ab
159.50.249.153,a5:6c:a1:a8:dc:cc
46.215.68.113,a0:79:49:4b:55:93
102.182.125.222,2f:0c:2b:c9:15:b6
83.150.179.191,8c:fd:c8:a1:71:29
35.8.249.113,80:10:48:bc:0c:c2
165.116.245.45,41:3d:b2:16:b7:ab
51.131.79.52,28:9c:7d:67:d0:da
130.176.70.49,be:b6:e1:cb:b9:b1
178.218.90.28,57:a6:94:02:5a:af
16.157.104.135,c2:c2:85:4c:d2:7f
210.14.165.46,f1:b0:f7:44:f8:b9
114.38.46.64,46:79:dc:0e:c9:5c
113.61.237.72,c5:cf:e8:81:d3:ea
222.200.26.76,ba:45:7f:d3:9a:c0
41.104.166.158,ed:cd:9f:7e:62:19
139.36.118.185,0a:b3:bd:8d:94:a8
205.161.39.141,c3:c5:03:90:da:12
186.125.240.85,1d:91:1f:bb:7d:d8
95.35.253.82,31:38:44:c6:67:2c
80.164.245.7,4a:2d:38:68:0f:83
163.204.204.82,fb:4b:b2:7c:e7:d2
95.236.13.138,e7:c8:34:50:8a:6e
204.44.49.7,65:23:b9:7d:91:8c
39.75.118.27,06:70:6e:25:b1:43
34.156.162.186,8b:c4:35:89:6f:83
211.14.201.136,c1:a3:e4:83:ca:95
191.229.167.236,db:79:1b:36:cf:61
9.27.49.217,61:c5:a0:7b:51:d7
71.69.16.246,19:5a:fd:61:5f:bb
8.224.13.13,87:45:96:dd:0f:28
39.45.89.31,41:62:4b:cc:ea:59
110.17.145.12,b7:40:52:c4:95:b5
153.197.206.103,7d:68:33:a5:60:e0
203.222.60.27,dd:98:7b:53:ae:18
