ip_address,mac_address
135.44.232.210,ae:d8:7f:29:ff:89
101.109.20.122,28:99:db:38:95:12
132.248.214.66,47:bc:48:47:d5:f7
140.29.72.8,ae:75:18:35:fb:de
146.250.184.112,ef:be:cf:d4:f4:bd
28.190.51.58,17:f8:09:90:2e:e5
144.240.102.177,84:ea:f3:57:36:34
195.126.20.134,8f:5c:5d:86:0d:51
119.97.134.140,c4:59:9b:12:81:98
161.102.161.61,e6:8c:a5:db:ee:64
36.194.145.115,d3:a0:82:a1:c4:c5
14.226.19.3,71:00:9a:10:e2:98
60.97.197.59,3a:cf:58:03:e4:13
82.66.97.254,68:a8:ce:a8:18:b6
218.121.129.49,a4:63:ae:3a:69:c5
16.57.155.110,d9:86:09:6a:f6:88
212.0.13.155,c2:38:a5:ac:9a:f2
98.95.184.153,77:cb:2c:85:88:e7
85.98.109.77,92:4c:52:3b:22:19
66.156.96.119,20:f0:04:51:2c:7b
64.129.66.132,d7:c1:da:dc:c5:75
60.44.78.193,94:a3:e8:bd:d1:16
12.12.228.28,e3:7b:a3:9e:93:aa
145.149.201.62,56:a6:c2:fd:f8:9c
17.148.191.68,48:80:ee:7b:3e:83
29.150.154.101,f9:dc:32:95:67:50
97.214.219.184,bd:1a:21:2a:72:bc
59.42.5.107,c5:34:d8:fc:20:e0
5.193.210.52,cd:e9:e8:48:b7:3c
41.170.93.113,66:31:58:89:33:e8
46.161.232.228,92:f0:a5:a1:35:32
169.8.72.96,3d:01:92:ad:8f:25
76.106.205.198,5a:40:1e:8d:ad:6c
108.5.222.160,93:ed:61:f2:b2:87
56.237.230.96,f4:d2:66:c3:eb:c2
1.58.232.25,57:f7:8d:ca:4b:66
186.172.54.12,c3:03:26:06:d8:27
108.186.227.120,23:0a:75:39:f1:c5
110.94.184.90,af:7f:b4:81:59:3d
110.85.51.16,04:83:b9:e8:a8:86
126.117.222.101,8b:95:70:a8:72:49
96.200.212.150,e0:1e:e8:c2:8e:aa
140.61.255.93,01:6d:ec:b1:81:d7
30.28.135.219,24:a3:20:fd:f7:04
134.210.118.70,c1:c4:d3:f2:0b:93
62.63.70.50,fe:bf:86:28:18:6d
1.90.221.140,7b:98:17:90:19:17
173.93.32.235,72:d7:99:74:1f:65
105.187.56.144,7a:0e:93:59:80:f7
103.247.147.48,e5:55:1d:b1:45:9f
60.145.94.1,07:1e:f3:b3:c7:ea
221.93.184.122,ff:0a:56:89:53:54
31.171.13.63,55:cf:5a:8d:21:05
6.218.76.63,72:6c:cf:3c:45:af
93.201.46.221,b6:29:b5:3b:bc:cf
83.152.32.8,15:5b:a1:fd:db:f8
116.196.229.33,78:58:24:fa:7d:a1
53.161.3.212,c1:35:6f:c6:60:b6
145.89.125.1,2d:ea:db:e1:3b:b7
81.142.191.168,59:71:15:7e:d2:fe
164.255.208.173,25:87:f1:78:53:7e
195.205.197.155,5b:aa:3c:33:22:11
126.195.136.190,43:6b:4d:a0:7f:4a
138.41.11.78,c4:15:b8:65:99:6d
205.232.74.15,fa:da:f2:96:52:17
178.57.243.245,ae:af:5b:4c:d5:04
199.58.2.201,52:d4:46:e6:cc:1e
140.62.126.41,c6:9d:d7:cb:86:d7
159.11.49.162,e8:11:49:24:4a:0d
2.196.49.123,a1:1e:9f:80:60:3f
162.203.227.99,34:24:df:c9:98:28
115.157.134.224,74:ee:cb:13:c8:24
32.41.198.54,26:7e:7a:08:fd:b9
63.171.100.237,80:5c:46:eb:e8:aa
1.43.23.159,a1:ae:a8:fa:28:32
187.212.225.163,ae:dc:df:77:08:4c
73.222.246.120,50:ce:1b:4b:ef:52
181.118.155.71,8d:e1:50:bc:f0:3f
170.96.228.9,4c:f0:3c:12:6e:02
210.88.242.42,52:61:89:93:09:4c
177.56.105.28,b6:4c:4b:f8:ab:1e
176.208.63.76,94:95:57:28:01:9a
68.218.10.229,5d:a0:98:b8:93:55
25.74.65.166,4b:a2:96:21:02:eb
200.19.123.143,07:e2:ba:d3:f4:d6
171.162.151.8,d9:f1:fe:67:30:f1
219.102.153.31,cd:fc:97:5d:97:5b
70.42.243.246,6c:b7:e1:99:ea:c7
89.54.246.29,ff:ef:bb:bf:96:33
162.218.170.134,09:0d:49:99:bf:53
167.40.89.190,65:ef:aa:88:ed:e7
44.129.189.247,46:5a:ca:6a:16:69
70.117.0.13,e7:40:e0:40:7b:4f
21.17.72.225,58:f0:d0:20:30:d8
14.252.203.239,de:8e:6f:5b:e3:e8
204.242.93.41,bb:c1:a0:7c:78:1c
4.50.25.162,97:46:bd:1a:80:de
33.81.117.82,36:f1:54:3b:9b:75
99.65.98.66,b3:d2:3d:7c:d6:42
218.161.151.69,91:42:16:ad:c1:55
184.168.97.93,b9:f6:e4:b5:29:4a
118.146.5.248,32:8e:d0:3e:91:21
48.98.189.77,e1:4e:5c:02:4e:fe
78.248.144.161,5c:81:5f:51:cb:15
155.64.222.175,a0:bd:70:9d:c8:e8
10.11.213.114,ce:0f:3e:2b:15:ae
218.129.106.254,6a:bb:44:b0:95:72
203.116.167.86,b1:77:cc:d9:51:f4
175.38.70.17,32:c8:11:36:20:8d
217.97.237.171,68:ae:d1:3b:75:55
32.203.95.55,d0:1f:27:47:f1:8e
47.127.209.103,15:15:6c:92:9e:b9
34.162.56.218,2c:0f:fd:a6:3a:9a
65.115.86.61,16:b9:4b:7f:7f:5a
28.46.63.170,d1:9e:16:f9:e7:89
109.235.69.151,42:79:d8:fb:7c:48
133.123.33.52,16:9a:de:5c:00:4b
155.25.92.28,0c:ce:71:4f:17:91
67.240.200.198,13:25:71:bb:10:fc
33.159.192.254,ed:db:13:ef:f4:b0
154.246.12.94,3f:dd:89:9d:cf:b6
57.77.149.136,e0:68:9b:85:f7:1c
119.52.125.3,0a:ca:30:63:fb:4d
98.85.200.123,34:a8:60:d9:7a:9c
216.222.50.57,b1:6f:97:69:78:cc
159.151.218.157,34:e0:cb:93:ce:cf
164.79.34.75,ee:54:86:09:6a:f5
158.190.10.31,aa:b8:57:b5:e4:4e
43.222.72.107,2c:1e:58:96:46:b0
174.246.255.224,2a:6d:12:e3:27:4f
120.79.70.162,ea:a9:88:2b:82:b0
172.234.190.60,3d:24:d6:15:b6:b0
223.13.117.242,2a:d6:5d:73:8a:ec
25.70.95.127,99:b0:f2:c1:d7:7f
170.108.140.254,b2:5f:7c:90:2a:08
24.137.175.202,7f:ca:2c:2a:bb:98
24.232.183.150,d5:b8:97:51:1d:b9
48.19.161.182,dd:72:c5:24:72:06
31.90.119.39,44:ba:32:aa:58:f0
154.69.130.96,b5:45:6d:c7:5a:5e
26.222.53.78,be:2b:12:97:a5:cb
135.18.31.0,bf:b8:a1:6a:26:c7
198.121.247.46,7a:d9:b3:87:f2:05
2.231.188.143,7e:ae:43:a7:a4:3f
59.109.125.35,ce:a7:e3:13:f8:cb
101.250.226.163,14:f9:c3:c3:9c:6f
202.235.116.181,5b:ab:21:33:ef:90
87.80.2.129,20:03:3c:5b:08:9f
174.123.201.82,c5:26:40:cb:e3:5a
193.218.199.148,0a:f5:d8:b2:44:2f
207.101.10.97,5b:c6:d0:78:7d:98
109.230.146.175,a6:3e:71:be:c4:ec
190.40.120.171,8a:02:a8:dd:18:65
30.127.46.154,08:d1:c3:01:5b:1c
200.62.32.19,db:27:13:ad:3a:48
172.166.160.209,fb:3f:4d:91:33:5b
165.199.77.247,81:91:db:8a:31:2a
34.18.131.158,03:74:bf:04:8d:8c
21.66.22.35,c7:37:df:d0:67:92
25.210.112.64,c2:df:05:72:89:1e
166.237.38.86,bf:8a:7c:04:47:73
53.221.129.21,32:1b:78:a4:13:06
133.2.21.191,ef:e0:5b:94:f0:0d
195.92.101.91,19:5d:e1:d7:14:60
154.70.4.91,ec:a8:12:2a:ed:80
103.3.156.60,df:45:3d:6e:e2:da
118.193.89.150,98:00:b2:71:95:3b
146.227.17.252,a0:55:9e:53:1b:be
28.237.106.100,f3:93:f9:01:96:62
197.219.204.50,de:7a:60:79:d7:56
168.0.153.185,b5:37:dd:da:a8:38
140.198.99.65,78:3c:33:01:ce:98
122.170.234.171,48:01:36:3c:99:c5
205.28.119.246,b0:a4:d7:9a:c9:b4
26.172.210.78,1b:98:1f:78:f8:38
167.241.243.190,e1:2c:56:9e:59:7d
100.5.243.32,e7:b7:bd:1c:e2:e8
29.134.199.106,67:a6:5a:99:e0:7c
77.33.17.222,78:e8:45:1c:6c:5a
45.148.79.252,7d:55:56:7c:6a:1b
138.105.178.185,c4:2a:be:b4:b7:14
23.127.200.32,85:0e:1c:b8:f9:11
135.239.67.123,17:6e:cf:e5:f8:2a
217.117.197.238,aa:02:49:40:94:bf
204.185.150.134,a8:7e:f7:cc:ce:e7
9.193.206.111,b4:54:52:38:cc:73
74.114.99.254,b0:92:1d:9c:80:90
73.28.9.32,b2:db:f9:2d:1d:5f
22.122.153.218,ad:6a:38:0c:6f:96
146.224.14.96,64:a8:0d:a1:4a:0a
192.209.56.78,01:eb:60:40:cf:27
48.133.64.186,47:90:0a:4e:a3:ce
216.109.176.119,aa:fe:c0:58:03:26
112.148.250.47,34:fc:03:4c:4c:5f
102.226.41.71,e1:c3:d0:b8:e1:00
88.69.252.193,87:95:0e:6b:3b:c5
124.99.55.50,a2:f4:aa:5f:2f:fb
74.107.112.170,ac:97:9c:e6:30:05
5.188.236.36,d4:d2:24:e5:ca:50
180.138.93.146,c6:c1:ba:b6:8d:96
87.233.189.131,61:eb:16:88:a6:14
76.181.60.15,16:93:1d:fd:7d:9a
107.191.94.240,67:67:52:78:b8:00
37.121.76.54,35:22:76:27:67:0a
29.131.102.200,0b:40:62:e5:ce:e1
64.213.140.76,7f:a0:47:9b:e7:b5
56.139.187.166,23:82:9c:3d:87:01
116.241.25.205,65:a5:5a:f3:4d:5c
198.176.181.0,62:a8:22:f1:30:77
208.169.93.99,0d:31:51:e6:92:27
70.169.49.254,17:e2:63:1d:3f:e6
86.144.236.133,b7:e2:1f:a9:bf:3e
17.210.129.189,2b:eb:b2:d1:ee:d3
14.27.255.140,3a:0c:25:b2:9f:41
141.110.43.164,04:c5:7e:36:9e:15
101.84.126.154,2e:c2:90:3e:2d:df
137.135.92.244,73:b3:9d:5b:cd:ba
193.189.254.119,46:30:d7:97:0b:af
161.169.138.116,3f:03:ed:b2:66:9d
125.39.158.152,3f:cd:46:88:0a:cf
62.33.30.203,8a:d8:b5:63:83:af
85.153.182.194,14:35:50:82:81:1f
164.127.128.135,8d:be:ef:9f:a2:10
137.242.249.173,44:2a:74:13:82:8d
171.133.57.165,87:f2:40:6a:53:fc
122.61.202.134,56:ab:68:a4:5e:88
104.176.203.197,06:d9:c1:4e:f5:72
210.129.26.46,c4:f8:87:28:52:b0
94.247.51.35,1a:23:0a:28:5e:6e
39.249.101.51,e6:53:d2:5c:4c:e1
169.137.141.216,8b:3e:1c:86:d8:9f
36.117.165.192,9c:d6:10:17:e9:49
119.104.129.28,95:d3:34:a5:3e:8e
215.46.139.180,4a:92:72:60:6c:19
181.86.240.71,70:0e:34:44:27:89
205.131.126.192,3e:e3:14:78:06:e9
95.210.163.101,c1:6a:90:73:f0:61
160.224.78.84,d5:53:37:8b:de:87
209.20.37.87,09:a8:fd:96:c2:5f
184.67.85.36,16:8b:98:c3:34:c4
98.76.129.241,d0:50:03:2a:4a:ca
203.186.87.47,4d:39:44:d7:f6:0d
204.98.70.207,b5:a2:a4:e9:a8:a5
62.198.113.4,ef:9e:47:62:99:02
49.30.56.49,47:52:58:09:94:43
73.11.190.21,29:6d:33:85:4d:00
52.8.139.216,ae:18:61:cc:0b:42
130.166.252.48,a2:9d:47:04:58:e7
10.233.229.112,5e:a2:3e:0e:e2:eb
108.170.145.19,9f:47:b7:d0:a1:e8
34.106.184.255,26:0e:91:5c:70:ce
61.232.204.134,ae:10:5e:2e:40:47
36.96.173.70,18:4f:4f:a9:18:aa
149.9.208.172,c3:cf:45:8f:e7:7b
194.63.5.243,50:3d:f9:81:83:30
160.114.207.114,eb:95:34:a0:e5:64
212.108.22.173,b1:5c:d8:ad:4b:f8
86.27.234.219,89:e8:89:ba:24:f9
40.86.35.218,d0:7b:ff:03:2f:56
41.9.91.217,e5:ae:68:20:c1:f4
74.125.143.108,c8:fc:76:0b:99:a1
187.149.239.30,98:cd:fe:2c:80:49
112.100.218.110,db:aa:12:ba:ef:49
196.68.97.95,49:74:b0:38:24:f6
6.111.139.223,87:b5:3e:dc:35:f8
11.19.216.40,2c:2b:88:a5:a9:a0
11.158.186.167,f8:00:da:3c:f2:c2
138.111.146.153,22:5f:22:82:a0:dd
96.214.16.255,24:37:1f:6e:cc:bb
177.97.55.150,46:82:b9:d2:af:2b
101.64.124.2,a9:29:fe:01:26:9a
220.93.149.150,30:e7:f5:b5:87:7f
172.135.98.55,c6:75:9b:16:e5:eb
166.129.129.35,59:04:c9:94:83:a0
202.116.82.172,4b:68:5e:79:70:cf
47.155.109.48,cd:80:97:4b:ba:e9
36.87.149.7,3a:1d:b2:f2:77:1c
78.3.205.137,4f:86:76:7d:f9:e6
156.138.19.47,58:f5:33:5f:fa:66
222.59.237.37,47:a6:f0:af:ea:16
55.218.176.46,35:69:a6:8e:76:74
13.217.44.33,30:06:81:db:67:03
201.98.171.185,e2:6d:3a:cc:98:5d
70.40.195.197,03:89:3c:e3:0f:33
20.249.85.40,43:86:7d:d3:8f:82
7.105.127.168,28:53:96:b1:f0:e6
132.26.124.59,ff:3c:d2:5c:cd:66
214.67.228.1,d1:f4:54:65:43:6b
27.32.7.164,d4:27:8d:14:f1:c6
44.245.217.22,fa:c8:e0:98:3c:a0
10.64.94.207,55:02:af:bf:b4:0b
194.20.59.143,f2:50:26:64:bd:8d
112.97.250.226,7a:3d:bd:4e:4d:0b
152.167.205.146,4b:3c:71:f1:31:ef
136.170.11.113,01:26:d2:d6:7d:71
5.90.220.224,ec:b7:59:d7:3d:3f
82.185.197.153,70:45:87:e1:1f:d8
143.103.128.76,1f:31:b5:4a:52:7e
214.33.184.70,95:03:bb:cd:74:e7
103.234.63.240,af:ef:c6:9c:f0:5d
207.33.72.221,d5:60:bb:f7:b4:96
136.84.81.90,d1:ee:02:d7:0b:92
139.5.37.40,9d:8c:05:5a:7d:72
130.244.28.162,15:f0:8c:b9:ca:11
220.115.223.126,be:5e:24:72:5a:02
136.178.143.4,83:ec:6c:78:24:4b
28.80.252.58,d8:99:f8:a0:aa:63
99.232.231.140,21:a0:7d:5f:4c:2d
154.88.151.113,a9:ba:19:e7:7b:9e
5.2.57.119,7e:19:73:d5:09:e9
